RunId,iteration,Step,has_regulation,num_month_rent_renovation,rent_increase_differential,max_complaint,rent_discount,init_num_people,base_decay_constant,decay_differential,mean_quality,mean_complaints,mean_displacement,mean_housing_quality,mean_rent_price,hh_low_quality,hh_rent_regulation,movement,attempt,movement_li,attempt_li
30,5,0,True,3,0.08,4,0.5,2,0.15,0.05,"(73.24569787248475, 71.62031854189448)","(0.0, 0.0)","(0.0, 0.0)","(70.89089139363024, 74.79405937482143)","(0.2093098973997619, 0.4169440043153606)","(0, 0)","(148, 160)",0,"(0, 0)",0,"(0, 0)"
30,5,2,True,3,0.08,4,0.5,2,0.15,0.05,"(68.50438766075526, 58.992528285483466)","(0.7479674796747967, 0.3225806451612903)","(0.08943089430894309, 0.6129032258064516)","(47.51958558248574, 100.0)","(0.2058986740242918, 0.5414881322541317)","(48, 16)","(174, 134)",47,"(102, 0)",8,"(46, 0)"
30,5,4,True,3,0.08,4,0.5,2,0.15,0.05,"(70.44038429841233, 53.15478504218509)","(0.8536585365853658, 0.9032258064516129)","(0.3333333333333333, 0.6451612903225806)","(39.42625966395953, 100.0)","(0.1991516510301672, 0.6666170082527616)","(36, 16)","(159, 149)",78,"(195, 35)",9,"(82, 2)"
30,5,6,True,3,0.08,4,0.5,2,0.15,0.05,"(69.92499019620794, 53.44180718858824)","(0.5365853658536586, 0.3225806451612903)","(0.7560975609756098, 1.0)","(37.05820443619038, 100.0)","(0.20152320847135968, 0.8012683635789962)","(39, 15)","(161, 147)",113,"(337, 81)",9,"(120, 12)"
30,5,8,True,3,0.08,4,0.5,2,0.15,0.05,"(67.1874243172084, 46.88995067705083)","(0.7642276422764228, 0.8064516129032258)","(0.9024390243902439, 1.0)","(30.870903660331905, 100.0)","(0.2000074186426178, 0.9840782766088754)","(38, 20)","(161, 147)",120,"(490, 102)",9,"(158, 13)"
30,5,10,True,3,0.08,4,0.5,2,0.15,0.05,"(66.39746500815785, 46.9419986521075)","(0.6829268292682927, 0.4838709677419355)","(0.943089430894309, 1.0)","(28.908308081474285, 100.0)","(0.19949366781439037, 1.1886153515013362)","(45, 18)","(161, 147)",123,"(648, 136)",9,"(198, 19)"
30,5,12,True,3,0.08,4,0.5,2,0.15,0.05,"(66.75027904403656, 48.78448759493934)","(0.6991869918699187, 0.7741935483870968)","(0.9512195121951219, 1.0)","(29.08373840820403, 100.0)","(0.19958748242352656, 1.4394056979826568)","(32, 13)","(161, 147)",124,"(806, 166)",9,"(238, 22)"
30,5,14,True,3,0.08,4,0.5,2,0.15,0.05,"(65.17815327297016, 46.94764524655705)","(0.6991869918699187, 0.2903225806451613)","(0.9512195121951219, 1.0)","(26.41098803177864, 100.0)","(0.19949366781439037, 1.740251736133106)","(49, 17)","(161, 147)",125,"(964, 199)",9,"(278, 29)"
30,5,16,True,3,0.08,4,0.5,2,0.15,0.05,"(63.01795698237659, 44.04663571384477)","(0.6585365853658537, 0.8709677419354839)","(0.9512195121951219, 1.0)","(22.89278111477311, 100.0)","(0.19958748242352656, 2.1074338824164087)","(44, 16)","(161, 147)",126,"(1122, 228)",9,"(318, 30)"
30,5,18,True,3,0.08,4,0.5,2,0.15,0.05,"(62.072822320733536, 44.929258671334246)","(0.7560975609756098, 0.2903225806451613)","(0.967479674796748, 1.0)","(21.72235734210823, 100.0)","(0.19958748242352656, 2.549994997723855)","(53, 19)","(161, 147)",126,"(1280, 264)",9,"(358, 39)"
